epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3011.18,1.17819,1.34398,1.19545,0.6246,0.46553,0.52335,0.33298,1.27087,1.31008,1.25368,0.00999865,0.00333288,0.00999865,0.00333288,0.00999865,0.00333288,0.00999865,0.00333288
2,5684.38,1.30388,1.36938,1.2916,0.62763,0.45414,0.5158,0.32915,1.27715,1.29709,1.2792,0.0196027,0.00653422,0.0196027,0.00653422,0.0196027,0.00653422,0.0196027,0.00653422
3,8199.44,1.36331,1.44185,1.34173,0.62092,0.45089,0.51211,0.32665,1.27425,1.29478,1.28592,0.0288107,0.00960357,0.0288107,0.00960357,0.0288107,0.00960357,0.0288107,0.00960357
4,10660.8,1.35134,1.42723,1.34008,0.63453,0.4608,0.52532,0.33909,1.24711,1.25038,1.26668,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,12952.2,1.31021,1.36429,1.31073,0.64097,0.47109,0.53872,0.35103,1.22234,1.2142,1.24704,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,15217.4,1.28582,1.32864,1.29215,0.64646,0.47633,0.54548,0.3571,1.21247,1.19334,1.23849,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,17485.3,1.26983,1.30411,1.28172,0.65129,0.47871,0.54954,0.36109,1.20263,1.18319,1.23059,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,19765.6,1.25879,1.28699,1.27329,0.65681,0.48009,0.55301,0.36407,1.19596,1.17654,1.22562,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,22096.1,1.25014,1.27749,1.26701,0.66062,0.48006,0.55503,0.36601,1.19193,1.17222,1.22239,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,24498.5,1.24366,1.26439,1.26254,0.66111,0.48268,0.55713,0.36778,1.18867,1.16751,1.21997,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,27087.9,1.23692,1.25791,1.25852,0.66557,0.48376,0.55938,0.36951,1.18551,1.16257,1.21749,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,29663.9,1.23285,1.24825,1.25432,0.66577,0.48551,0.56128,0.37156,1.18214,1.15733,1.2145,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,32073.3,1.22921,1.24218,1.25119,0.66952,0.48609,0.56357,0.37324,1.17899,1.15207,1.21164,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,34491.4,1.22599,1.23822,1.24889,0.67192,0.48779,0.56585,0.37511,1.17606,1.14648,1.20902,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,36921.9,1.22344,1.2326,1.24627,0.67595,0.48936,0.5683,0.37697,1.1733,1.14018,1.20682,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,39337,1.21852,1.22795,1.2443,0.67738,0.49104,0.57036,0.37886,1.17045,1.13398,1.20422,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,41716.4,1.21498,1.22314,1.24176,0.67988,0.49302,0.57196,0.38031,1.16836,1.12851,1.2023,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,44091.3,1.21187,1.21815,1.2401,0.6775,0.4963,0.57376,0.38186,1.16643,1.12333,1.20029,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,46468.7,1.209,1.21336,1.23655,0.67821,0.49671,0.57566,0.38356,1.16441,1.11876,1.19813,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,48853.1,1.20731,1.21084,1.23537,0.67688,0.499,0.57723,0.38516,1.16223,1.11489,1.19645,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,51230.9,1.20279,1.20484,1.23254,0.67838,0.49952,0.57868,0.38632,1.16006,1.11135,1.1942,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,53595.9,1.20112,1.20123,1.2306,0.67669,0.50136,0.58011,0.38747,1.1583,1.1081,1.19244,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,55957.5,1.19779,1.19626,1.22893,0.6784,0.50255,0.58165,0.38869,1.15673,1.10506,1.19084,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,58332.1,1.19614,1.19397,1.22677,0.67796,0.50376,0.58291,0.38969,1.15538,1.10197,1.18926,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,60701.5,1.19161,1.1885,1.22478,0.68232,0.50373,0.58444,0.39076,1.15483,1.09935,1.18844,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,63086.9,1.1888,1.18478,1.22237,0.68115,0.50645,0.58529,0.39168,1.15347,1.09712,1.18664,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,65436.8,1.18774,1.18311,1.22141,0.67979,0.50836,0.58603,0.39225,1.15193,1.09469,1.18522,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,67773.9,1.18463,1.1764,1.21879,0.68073,0.50857,0.58706,0.39326,1.15051,1.09256,1.18388,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,70255.1,1.17953,1.17033,1.21575,0.68037,0.51009,0.58832,0.39434,1.1492,1.09042,1.18262,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,72839.6,1.17649,1.16681,1.2146,0.67971,0.51058,0.58881,0.39455,1.14793,1.08877,1.18163,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,75416.6,1.1731,1.16125,1.21237,0.67855,0.5121,0.58971,0.39561,1.1469,1.08738,1.18074,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,78013.2,1.17159,1.16035,1.21074,0.68006,0.51254,0.5906,0.3964,1.14547,1.08555,1.17963,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,80620.9,1.16701,1.15118,1.20832,0.68296,0.51108,0.5915,0.39711,1.14396,1.08361,1.17819,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,83215.9,1.16558,1.14914,1.20664,0.68212,0.51248,0.59223,0.39794,1.14273,1.08118,1.17695,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,85795.4,1.16217,1.14233,1.20291,0.68298,0.51417,0.59341,0.39875,1.14118,1.07857,1.1753,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,88385.5,1.15753,1.13669,1.1997,0.68601,0.51272,0.59407,0.39969,1.13937,1.07657,1.17373,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,90965.3,1.1535,1.13153,1.19766,0.68965,0.51141,0.59485,0.40027,1.13773,1.07519,1.17208,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,93549,1.15051,1.12724,1.19606,0.6918,0.51097,0.5955,0.40104,1.13605,1.07369,1.17067,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,96133,1.14573,1.12026,1.19273,0.6897,0.51287,0.59618,0.40191,1.13501,1.07257,1.16938,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,98741.1,1.14042,1.11489,1.19021,0.69084,0.5132,0.59708,0.40257,1.13395,1.07139,1.16828,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,101305,1.1757,1.13071,1.21487,0.69192,0.51427,0.59762,0.4034,1.13308,1.06983,1.16747,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,103905,1.16721,1.11807,1.20917,0.69312,0.51468,0.59871,0.40417,1.13178,1.0691,1.16651,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,106517,1.16105,1.10684,1.20343,0.69471,0.51457,0.59964,0.40504,1.13066,1.06832,1.16558,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,109135,1.15383,1.09748,1.19956,0.69861,0.51413,0.60054,0.40588,1.12965,1.06771,1.16485,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,111773,1.14624,1.08647,1.19333,0.69843,0.51532,0.60198,0.40671,1.12892,1.06671,1.16398,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,114419,1.13878,1.07451,1.18917,0.70024,0.51574,0.60284,0.40753,1.12763,1.06527,1.16301,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,117151,1.13263,1.06472,1.18441,0.7012,0.51603,0.60351,0.4085,1.12672,1.06367,1.16204,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,119829,1.12525,1.05445,1.17967,0.70215,0.51777,0.60473,0.4094,1.12623,1.06175,1.16108,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,122233,1.11874,1.04382,1.17357,0.70352,0.51793,0.60574,0.41018,1.12514,1.05944,1.15964,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,124610,1.11238,1.03463,1.17054,0.70498,0.5181,0.60658,0.41088,1.12456,1.057,1.1586,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
